1,2,3,4,5,6,7,8,9
2,503,47.5097,113.1061,2840260,210.8218,317.6395,7.781565288,
1,00506U,62070A,24298.85203,0.00000195,00000-0,22176-3,0,9990
2,506,52.0008,181.3488,277471,113.7806,249.2473,13.85551219,
1,506U,62070A,24299.93402,0.00000218,00000-0,23629-3,0,9996
2,506,52.0007,177.2486,277447,116.7542,246.2055,13.85552123,
1,00511U,62049D,24298.82516,0.00000179,00000-0,19815-3,0,9994
2,511,80.428,67.3016,32178,81.9307,41.4678,13.68449707,97468
1,511U,62049D,24299.60709,0.00000184,00000-0,20331-3,0,9999
2,511,80.4282,66.5263,32174,79.9707,293.5615,13.68449989,98040
1,00515U,62068B,24298.6282,-0.00000014,00000-0,00000-0,0,9994
2,515,47.5328,47.8115,2835007,269.4095,58.5377,7.792490938,
1,00516U,61015FT,24298.83435,0.0000064,00000-0,55092-3,0,9996
2,516,65.9946,225.3992,72888,106.8886,254.0196,13.92273664,
1,516U,61015FT,24299.84001,0.00000599,00000-0,51920-3,0,9996
2,516,65.9946,222.8576,72912,106.2433,254.6678,13.92274831,
1,00530U,61015FU,24298.65726,0.00000565,00000-0,43044-3,0,9994
2,530,66.8818,9.6488,85816,244.8981,114.318,13.99031142,
1,00537U,61015FW,24298.75173,0.00000583,00000-0,73806-3,0,9993
2,537,67.2273,57.4513,169454,19.0686,128.2728,13.64316684,
1,537U,61015FW,24299.77869,0.00000584,00000-0,73902-3,0,9993
2,537,67.2274,55.0947,169501,18.2732,132.2253,13.64318031,
1,00538U,61015FX,24298.82058,0.00013445,00000-0,30482-2,0,9990
2,538,67.8071,99.9443,9136,213.8917,146.1621,14.56206108,
1,538U,61015FX,24299.85084,0.00013117,00000-0,29728-2,0,9998
2,538,67.8071,97.2595,9030,213.6009,146.454,14.56233208,
1,00544U,61015GD,24298.84243,0.0000055,00000-0,79273-3,0,9993
2,544,66.873,158.1732,189750,306.0474,136.9793,13.55686661,
1,544U,61015GD,24299.87876,0.00000571,00000-0,81931-3,0,9992
2,544,66.8728,155.7952,189754,305.3717,154.7393,13.5568803,
1,00545U,61015GE,24298.83737,0.00000818,00000-0,91939-3,0,9996
2,545,67.2318,227.2532,157613,143.8534,217.3316,13.70373711,
1,545U,61015GE,24299.85915,0.00000832,00000-0,93352-3,0,9994
2,545,67.2319,224.885,157552,143.0467,218.1583,13.70375629,
1,00548U,61015GH,24298.85672,0.00005663,00000-0,85202-3,0,9999
2,548,66.6715,194.2165,111051,221.0452,138.2273,14.71092879,
1,00549U,61015GJ,24298.87219,0.00000196,00000-0,44921-3,0,9994
2,549,66.6929,157.9319,215832,337.6661,121.5662,13.36211997,82708
1,00552U,61015GM,24298.72315,0.00007671,00000-0,53065-2,0,9993
2,552,67.7393,39.6515,106607,173.9486,186.2921,13.96737609,
1,552U,61015GM,24299.58245,0.00006547,00000-0,45364-2,0,9998
2,552,67.7396,37.6125,106556,173.1031,187.1555,13.96746757,
1,558U,61015GQ,24299.59564,0.00000468,00000-0,13108-2,0,9992
2,558,65.7009,357.8697,475976,337.9428,144.5847,12.86243012,
1,00559U,61015GR,24298.72016,0.00015801,00000-0,32665-2,0,9999
2,559,66.6031,166.4564,64061,244.3141,115.1347,14.59155826,
1,559U,61015GR,24299.74829,0.00013148,00000-0,27217-2,0,9992
2,559,66.6025,163.6237,63861,243.6517,115.8029,14.59180437,
1,00560U,61015GS,24298.8384,0.00006037,00000-0,64851-2,0,9999
2,560,67.1613,181.876,301035,24.6645,336.8477,13.56196269,72888
1,560U,61015GS,24299.79709,0.00005918,00000-0,63564-2,0,9995
2,560,67.1616,179.6977,301105,23.9878,337.4882,13.56207674,73492
1,00574U,63014A,24298.846,0.00000027,00000-0,11388-1,0,9994
2,574,87.3151,252.8005,32047,356.0211,4.0385,8.652747542,
1,602U,63014E,24299.78857,0.0000002,00000-0,79240-2,0,9992
2,602,87.3261,246.6505,39398,283.2941,76.3522,8.672347139,
1,00622U,63030A,24298.88271,0.00000001,00000-0,-94123,0,9993
2,622,88.3999,244.4358,32725,299.7875,59.9722,8.579323624,
1,00628U,63014F,24298.83819,0.00000003,00000-0,00000-0,0,9992
2,628,87.3053,260.2466,24748,331.0034,28.9444,8.633698699,
1,629U,63014G,24299.81997,-0.00000019,00000-0,-10204,0,9994
2,629,87.316,248.3604,95787,261.2117,97.788,8.655720309,
1,00631U,63030E,24298.86028,0.00000002,00000-0,00000-0,0,9995
